Datetime,Frames,Bytes
2022-07-09 19:41:35,105710,27580375
2022-07-09 19:41:40,63469,6324788
2022-07-09 19:41:45,59918,6676334
2022-07-09 19:41:50,58736,5552200
2022-07-09 19:41:55,56938,4570556
2022-07-09 19:42:00,74096,16320712
2022-07-09 19:42:05,85820,25473107
2022-07-09 19:42:10,93274,30300283
2022-07-09 19:42:15,91986,30116431
2022-07-09 19:42:20,103410,38127145
2022-07-09 19:42:25,96646,33970180
2022-07-09 19:42:30,101932,37437586
2022-07-09 19:42:35,87364,25351601
2022-07-09 19:42:40,99812,34953047
2022-07-09 19:42:45,86105,25013163
2022-07-09 19:42:50,91909,28187396
2022-07-09 19:42:55,89725,25759136
2022-07-09 19:43:00,97627,35294369
2022-07-09 19:43:05,95467,31466705
2022-07-09 19:43:10,93459,30245380
2022-07-09 19:43:15,100528,35595008
2022-07-09 19:43:20,103276,37246229
2022-07-09 19:43:25,93900,31954527
2022-07-09 19:43:30,96773,32680030
2022-07-09 19:43:35,96626,33837994
2022-07-09 19:43:40,91811,28202557
2022-07-09 19:43:45,91485,28985988
2022-07-09 19:43:50,84033,23366335
2022-07-09 19:43:55,123546,34178810
2022-07-09 19:44:00,87015,15112019
2022-07-09 19:44:05,63544,6225112
2022-07-09 19:44:10,61309,6334217
2022-07-09 19:44:15,59842,5540243
2022-07-09 19:44:20,61494,7364921
2022-07-09 19:44:25,84878,24942700
2022-07-09 19:44:30,79128,25935879
2022-07-09 19:44:35,97460,35013813
2022-07-09 19:44:40,87968,26146761
2022-07-09 19:44:45,77903,28499956
2022-07-09 19:44:50,97875,39200421
2022-07-09 19:44:55,87983,31235415
2022-07-09 19:45:00,131847,40900439
2022-07-09 19:45:05,118716,30292318
2022-07-09 19:45:10,125345,33290308
2022-07-09 19:45:15,115895,30040603
2022-07-09 19:45:20,128294,34451194
2022-07-09 19:45:25,113877,26813938
2022-07-09 19:45:30,124984,35431300
2022-07-09 19:45:35,121223,30380907
2022-07-09 19:45:40,124695,32977153
2022-07-09 19:45:45,128742,39284285
2022-07-09 19:45:50,125769,34128420
2022-07-09 19:45:55,111972,26420020
2022-07-09 19:46:00,133354,37597426
2022-07-09 19:46:05,127901,34923454
2022-07-09 19:46:10,73214,10916223
2022-07-09 19:46:15,57823,6711703
2022-07-09 19:46:20,79274,18306321
2022-07-09 19:46:25,67705,8477453
2022-07-09 19:46:30,60652,6292385
2022-07-09 19:46:35,82950,15932111
2022-07-09 19:46:40,103287,31112059
2022-07-09 19:46:45,93828,30029101
2022-07-09 19:46:50,88197,35915863
2022-07-09 19:46:55,107285,30379773
2022-07-09 19:47:00,86574,30699286
2022-07-09 19:47:05,89493,29629874
2022-07-09 19:47:10,102804,28092105
2022-07-09 19:47:15,80624,30873635
2022-07-09 19:47:20,111809,36432310
2022-07-09 19:47:25,94860,26347504
2022-07-09 19:47:30,82938,31032243
2022-07-09 19:47:35,107595,29109358
2022-07-09 19:47:40,82518,22721232
2022-07-09 19:47:45,86688,27902740
2022-07-09 19:47:50,106810,28799531
2022-07-09 19:47:55,81003,29686452
2022-07-09 19:48:00,107697,33882341
2022-07-09 19:48:05,98937,27226901
2022-07-09 19:48:10,82386,30982572
2022-07-09 19:48:15,113906,33250812
2022-07-09 19:48:20,85711,23010617
2022-07-09 19:48:25,66557,10906900
2022-07-09 19:48:30,52014,5113396
2022-07-09 19:48:35,77798,17346716
2022-07-09 19:48:40,53393,4356012
2022-07-09 19:48:45,57621,5275895
2022-07-09 19:48:50,83645,19551971
2022-07-09 19:48:55,103884,23138168
2022-07-09 19:49:00,107143,32505683
2022-07-09 19:49:05,119433,38332411
2022-07-09 19:49:10,116834,30400706
2022-07-09 19:49:15,101145,26842968
2022-07-09 19:49:20,115940,34391661
2022-07-09 19:49:25,112334,29399040
2022-07-09 19:49:30,107760,30875933
2022-07-09 19:49:35,113330,29893411
2022-07-09 19:49:40,110734,34585932
2022-07-09 19:49:45,113755,33421225
2022-07-09 19:49:50,110797,26593864
2022-07-09 19:49:55,103090,32004680
2022-07-09 19:50:00,149283,68441758
2022-07-09 19:50:05,186909,94049906
2022-07-09 19:50:10,179197,98741875
2022-07-09 19:50:15,229927,143418400
2022-07-09 19:50:20,217113,120028479
2022-07-09 19:50:25,207019,129685802
2022-07-09 19:50:30,158847,77826102
2022-07-09 19:50:35,147653,72715979
2022-07-09 19:50:40,121505,49768591
2022-07-09 19:50:45,149145,71865728
2022-07-09 19:50:50,109744,45848275
2022-07-09 19:50:55,70817,17070587
2022-07-09 19:51:00,95634,35321180
2022-07-09 19:51:05,159677,86221524
2022-07-09 19:51:10,199697,109369325
2022-07-09 19:51:15,207949,113307933
2022-07-09 19:51:20,237967,135693435
2022-07-09 19:51:25,235940,133319578
2022-07-09 19:51:30,224618,134969718
2022-07-09 19:51:35,242233,134206017
2022-07-09 19:51:40,232590,130010773
2022-07-09 19:51:45,226431,134463882
2022-07-09 19:51:50,210636,114070788
2022-07-09 19:51:55,223920,129162375
2022-07-09 19:52:00,203181,110360775
2022-07-09 19:52:05,218358,121500116
2022-07-09 19:52:10,199128,107075686
